usuario_id,qtd_jogos,qtd_avaliacoes
6844631,170,7
6856196,363,22
6866808,214,6
6884832,197,9
141755,122,3
165117,14,1
172465,153,2
217273,292,4
221626,2196,24
227605,5,1
231497,137,3
239787,153,9
280208,82,1
283296,127,6
308512,304,19
369294,251,8
388305,257,1
499056,46,1
515771,283,9
517827,6,1
596930,731,5
602822,72,1
641254,389,5
643924,491,3
650257,118,6
654838,347,1
702672,111,2
704285,342,4
755555,123,16
781672,278,36
788063,866,22
823739,228,14
826905,144,2
839533,199,1
861974,212,7
888011,290,3
938771,512,2
976721,43,2
1020490,57,3
1081043,306,18
1083154,492,1
1086746,16,1
1105251,260,7
1267317,33,4
1303975,116,11
1306054,22,2
1314786,154,7
1426058,106,5
1435226,100,2
1480820,86,3
1528536,499,3
1535262,93,1
1551578,47,1
1554569,102,8
1558986,231,4
1573291,54,2
1606983,113,2
1620862,137,13
1639346,126,1
1679132,650,2
1733435,407,1
1752716,471,13
1788695,252,2
1900392,337,1
1904235,112,7
1988535,239,4
2059135,72,2
2061977,252,4
2062423,19,1
2081978,321,13
2086241,51,1
2089555,62,1
2139702,33,1
2144601,173,3
2146036,154,1
2146886,34,1
2152374,82,2
2158326,43,1
2179566,198,8
2181347,125,3
2207159,997,2
2217052,192,2
2232210,66,6
2263375,161,3
2265448,117,10
2282128,142,1
2309467,77,1
2328899,149,3
2340077,50,1
2340648,50,4
2351197,221,5
2359367,131,3
2364573,266,6
2395007,84,1
2406204,12,1
2416409,90,2
2416989,59,2
2421391,13,1
2438785,198,4
2443974,733,46
2444915,11,1
2459016,225,15
2460175,1063,1
2464275,162,1
2475541,295,13
2498025,268,18
2499950,38,13
2503653,33,1
2523209,434,12
2537029,11,2
2546015,149,2
2550406,33,1
2552609,127,2
2555947,10,6
2601457,585,13
2624963,150,2
2631986,171,4
2633380,26,1
2633779,115,3
2644208,21,1
2646534,116,6
2653666,175,3
2684971,125,2
2685763,30,4
2699271,168,9
2719641,20,3
2764901,110,4
2766319,461,11
2817891,90,1
2821646,137,1
2823205,45,3
2834106,381,18
2851012,54,3
2877990,168,1
2894398,22,5
2900831,16,2
2923813,811,1
2930502,190,4
2956328,21,1
2964012,295,2
3000565,33,3
3008140,172,17
3011166,114,3
3018319,50,4
3055315,32,5
3081581,171,5
3093182,15,1
3118948,246,6
3132849,1554,2
3143726,177,4
3147667,15,1
3152773,218,11
3156735,58,2
3158643,278,3
3187133,118,1
3196000,165,4
3209703,30,1
3211833,76,1
3216571,64,1
3219146,13,2
3248551,21,3
3252716,30,1
3261405,60,1
3262290,108,12
3272480,50,2
3276245,116,4
3278344,143,2
3289934,6,1
3298683,204,3
3306209,1818,14
3329356,59,3
3331137,78,1
3360775,80,9
3369920,104,4
3397950,571,28
3400368,26,1
3409748,21,1
3413166,183,16
3413547,238,11
3417610,159,3
3418742,56,2
3431520,24,2
3435297,60,3
3448503,166,1
3462818,70,2
3495689,199,14
3518863,44,1
3524026,53,1
3540761,66,2
3596131,80,1
3645088,77,2
3649011,54,1
3663909,36,2
3669813,110,9
3673671,6,1
3688620,138,3
3717659,20,3
3743390,24,3
3749795,45,1
3781200,39,1
3785554,37,1
3813990,25,8
3817029,26,1
3827571,228,8
3831836,20,3
3845961,47,1
3847385,67,3
3848156,4,1
3853625,28,3
3860431,19,1
3909005,81,1
3915213,53,2
3947543,74,4
3965643,212,18
3966224,12,2
3974207,9,1
3980479,54,1
3981553,68,1
3987697,32,1
3991816,14,1
3999262,326,1
4008953,142,9
4028713,67,2
4032480,18,1
4058915,69,3
4066463,86,8
4082233,101,18
4095322,641,9
4143700,56,2
4148737,61,3
4150682,150,5
4156920,44,3
4157627,182,8
4166077,45,2
4174733,41,2
4184187,76,6
4187784,18,1
4193928,21,1
4209013,1229,7
4219702,40,1
4230471,58,13
4246505,175,5
4256710,38,1
4260233,110,4
4262048,33,4
4268948,62,3
4297260,64,2
4300139,157,1
4301897,79,1
4306559,144,1
4309635,70,3
4323443,48,2
4328142,42,2
4328972,73,7
4350035,49,1
4407439,15,3
4432696,87,1
4443451,97,1
4455594,238,17
4461087,265,23
4463768,33,2
4466798,118,5
4488238,68,2
4501952,58,1
4503471,13,1
4530537,18,2
4537961,348,1
4546675,128,1
4549117,45,2
4549320,99,2
4551500,63,4
4578050,107,3
4579049,156,4
4584434,324,2
4598565,72,3
4600968,17,1
4623340,151,4
4632530,105,11
4636822,61,3
4637164,27,2
4637677,68,3
4721355,69,2
4731060,47,1
4740119,58,1
4743172,98,2
4760497,3,3
4765170,17,1
4783453,18,1
4791466,33,1
4810254,149,9
4838936,23,4
4844909,18,1
4867537,190,9
4869844,42,2
4879373,13,1
4902619,16,1
4916888,100,6
4927766,32,1
4948417,46,2
4956797,137,4
4964054,82,4
4969385,6,1
4995250,18,1
4998432,35,3
5000950,15,2
5013826,53,1
5022885,12,3
5047206,70,1
5072376,66,6
5083549,24,1
5088360,42,2
5134659,58,1
5168766,12,2
5177064,42,1
5192374,170,8
5242701,5,1
5244723,4,1
5250045,28,1
5989184,843,2
6035917,106,42
6036396,70,2
6054357,28,1
6062496,10,1
6107851,62,8
6116144,60,3
6159422,45,5
6169997,29,2
6179736,13,5
6181535,43,4
6185787,26,1
6207408,41,1
6208629,67,3
6218979,200,24
6267065,128,3
6283398,33,3
6296005,22,1
6311831,19,1
6327623,12,1
6335349,10,2
6341476,31,9
6355792,13,1
6361394,561,2
6372244,139,1
6375356,365,5
6377195,127,2
6401922,62,2
6407795,3,1
6410533,29,1
6412508,0,1
6413881,26,2
6418822,11,1
6434123,63,2
6444658,45,2
6446324,85,1
6452531,3,1
6467243,35,3
6479834,37,1
6498255,119,5
6506771,63,2
6509740,70,11
6510417,77,8
6514243,57,1
6520922,179,8
6521617,73,12
6529446,75,1
6535054,117,8
6535715,175,9
6544073,22,1
6568761,39,8
6572452,64,1
6582482,45,1
6585422,4,1
6585881,87,1
6586823,430,1
6602606,29,1
6603413,73,2
6627251,22,1
6637747,46,1
6666756,108,2
6694405,29,1
6707774,10,1
6754853,19,1
6762654,364,2
6764897,10,2
6767157,65,7
6772427,154,2
6789297,23,3
6819862,98,9
6832789,45,2
6874715,107,3
6886369,12,2
6887411,54,7
6890085,41,2
6902802,15,1
5569,102,2
17525,35,4
23419,27,3
25886,17,1
33569,90,1
34290,42,2
74607,74,1
89013,12,1
91190,53,1
110412,36,1
128565,33,1
135009,65,12
135186,60,1
178340,36,2
184906,91,25
202568,2,1
204212,85,10
210612,25,2
217024,36,3
223330,4,1
227743,87,2
239595,160,2
244269,129,4
269952,9,1
273975,31,1
298434,31,12
311774,102,11
328059,76,1
331862,63,6
331902,61,10
343201,12,1
346756,59,14
358196,5,1
370878,316,3
375073,31,1
378111,50,2
388096,46,1
392995,4,1
408514,44,8
414982,74,1
430557,159,6
436671,7,1
444253,42,1
444873,32,1
463011,14,1
465914,8,1
466770,24,1
505072,27,2
535759,42,9
535989,13,2
537974,12,1
538803,14,3
540702,52,1
553380,10,1
633571,9,2
640590,22,3
655900,1156,3
671033,71,4
672089,308,16
676360,19,4
681646,62,1
690753,29,1
692332,39,1
695398,29,1
700090,13,1
714650,68,2
719898,37,2
728370,31,4
759477,44,3
762959,61,18
785582,13,1
839070,17,2
850177,4,1
859195,72,1
861598,34,1
863711,15,1
867598,16,1
872943,54,1
899370,109,7
948404,2,1
953003,189,2
963364,24,1
967154,110,2
988647,19,3
1000142,4,1
1011830,46,3
1021290,25,4
1026668,65,2
1028303,23,1
1038127,75,3
1055887,44,2
1057658,53,1
1058623,3,1
1060512,81,1
1124134,12,1
1128995,82,1
1142502,57,6
1154813,9,1
1162389,2,1
1179941,32,1
1190069,29,3
1190268,33,1
1192209,11,1
1218343,11,1
1226276,58,9
1259727,45,1
1316577,13,1
1324037,35,4
1327563,18,1
1338367,0,1
1340899,3,1
1360465,6,1
1371017,12,2
1386693,5,2
1390303,3,1
1393280,30,2
1394345,7,1
1428268,24,3
1441112,175,2
1448932,27,2
1457702,27,2
1465598,18,2
1468490,10,1
1490763,27,2
1496194,5,1
1504551,13,1
1513602,25,1
1530147,4,1
1535500,35,5
1537541,215,3
1539682,5,1
1548319,15,2
1550373,47,4
1551040,17,2
1557565,6,1
1571516,9,1
1589294,21,6
1600986,20,4
1602415,7,1
1605266,132,10
1605686,18,2
1612207,8,2
1616941,36,5
1619635,93,14
1621359,18,2
1651004,42,2
1651189,15,3
1651948,37,1
1665990,7,1
1673444,21,4
1677375,28,1
1680396,32,1
1690500,3,1
1691937,51,3
1700263,1137,1
1714882,6,1
1726720,11,1
1731740,9,1
1735371,25,3
1747026,42,1
1749450,3,1
1759316,6,1
1762421,12,2
1773588,15,2
1775777,6,2
1781223,22,2
1793289,2,2
1793584,4,3
1835784,28,2
1837251,14,1
1840620,0,1
1843834,23,2
1847623,10,1
1863050,80,5
1866762,15,2
1868637,26,1
1868774,2,1
1887480,20,1
1902214,11,2
1904464,10,1
1905076,5,1
1915773,6,2
1931812,5,1
1933299,0,1
1952090,16,3
1960661,10,2
1966913,11,1
1994966,16,2
1997171,25,1
2006106,2,1
2017431,64,1
2018554,11,3
2047013,24,11
2054109,8,1
2057507,15,1
2080716,28,1
2092028,3,2
2116457,6,1
2132857,5,1
2167832,9,1
2169755,26,1
2171425,27,2
2185774,4,1
2192601,7,1
2206069,17,1
2206691,2,1
2224990,0,1
2236497,3,2
2239596,11,2
2243630,18,1
2250775,2,1
2251032,5,2
2259823,2,1
2269453,5,2
2285796,42,1
2286770,5,1
2287041,24,1
2288707,0,1
2294971,8,1
2296761,2,1
2309147,0,1
2310130,11,1
2313005,2,1
2313323,7,1
2314163,9,1
2316982,0,1
2317364,3,1
5886939,147,1
6254079,41,1
6833551,1164,12
2135484,482,1
2840165,334,7
3460616,40,1
4423434,407,7
4785775,79,1
5035464,36,6
5316305,529,14
5460163,198,13
5512067,323,6
5719187,231,1
5784509,78,1
6162454,714,4
6762852,149,1
6780668,503,2
176113,88,2
180141,116,1
182743,532,17
199902,318,20
280543,240,7
412509,405,1
576134,86,2
1532348,56,1
1724826,182,13
2069785,582,34
2209434,132,2
2343932,83,2
2381958,356,7
2405335,57,2
2565966,1047,2
2634736,232,2
2755352,307,1
3011966,195,1
3028053,97,2
3052800,118,4
3302176,128,15
3327018,153,1
3410540,427,1
3423973,116,4
3488175,89,6
3500880,50,1
3502880,251,19
3545010,532,9
3565939,153,2
3609187,160,1
3609775,198,4
3623644,121,6
3631560,110,16
3632420,578,2
3645077,92,3
3647851,210,6
3654140,382,5
3679732,208,2
3687592,7,1
3707537,102,2
3721981,366,1
3753988,686,14
3755765,138,1
3833108,469,12
3878230,166,12
3886852,567,23
3972261,7,1
4003517,242,4
4025363,444,4
4025721,94,1
4057551,887,2
4112678,77,1
4152899,126,28
4171835,312,3
4203187,1899,2
4207390,135,2
4221779,1018,10
4240520,390,2
4242704,277,1
4261798,263,2
4274710,1470,18
4277460,206,1
4285044,1042,19
4300983,84,1
4354399,611,22
4364609,602,11
4379892,575,9
4381015,471,1
4386258,67,3
4409493,73,1
4467870,1718,13
4503102,457,5
4556395,82,2
4571605,156,1
4584304,1311,18
4595660,427,22
4634561,281,3
4650108,206,6
4656654,252,4
4680598,69,4
4712763,20,1
4723568,196,6
4772996,110,9
4787849,190,9
4815775,106,1
4831565,196,3
4833934,426,5
4853673,190,5
4873312,72,5
4876126,247,4
4910492,503,36
4956303,48,1
5009880,82,6
5017717,73,4
5038210,1246,46
5039596,411,2
5042547,10,1
5057631,601,12
5068557,424,2
5093689,2247,16
5094807,487,34
5113053,139,6
5137395,18,1
5141684,912,3
5158689,196,2
5222684,177,1
5249758,304,4
5254523,2742,2
5278182,134,2
5283563,13,1
5302911,878,21
5308561,196,3
5329011,215,6
5331272,675,6
5352103,260,2
5358426,513,1
5367293,138,2
5371386,76,3
5375026,181,1
5388463,171,3
5402156,93,1
5403205,47,2
5403494,143,1
5423081,166,2
5429878,706,1
5430405,681,10
5433530,146,1
5444116,125,3
5449247,1107,6
5468216,385,2
5468944,72,3
5478648,90,1
5482288,169,2
5488328,94,11
5490238,633,1
5490908,223,2
5494205,24,1
5496307,910,13
5499740,713,12
5500151,262,15
5510557,273,2
5519199,794,3
5530213,350,1
5543194,426,1
5563081,190,10
5571991,202,38
5579584,201,14
5608529,244,1
5609358,96,1
5621812,310,22
5626580,372,1
5634895,797,2
5644177,56,2
5654115,956,2
5674066,864,2
5674280,604,1
5675518,308,3
5677392,390,1
5681967,380,19
5682392,351,6
5685671,244,11
5698391,499,6
5698524,220,4
5714260,668,4
5727276,23,2
5727723,450,3
5731932,492,19
5733177,122,2
5740648,357,1
5743133,50,3
5748802,153,6
5753062,39,1
5762244,242,9
5769222,479,5
5778598,41,1
5780276,97,1
5790599,99,1
5791351,291,7
5794763,83,3
5799694,246,8
5807357,293,7
5810773,59,2
5815240,62,2
5841231,169,3
5842890,112,1
5876985,196,3
5884093,168,2
5887965,75,3
5919542,174,2
5925430,277,9
5934322,156,1
5935984,51,1
5938844,1676,3
5939548,36,1
5942516,251,1
5944051,258,16
5944828,542,7
5953238,176,4
5962268,978,7
5976006,116,8
5981215,293,2
5983785,201,7
5992808,122,4
5994596,110,3
6001124,250,7
6054320,41,9
6068399,377,1
6072428,449,12
6142806,189,3
6144995,63,1
6162549,289,1
6168765,198,2
6172012,726,1
6178304,563,9
6185639,133,1
6229692,714,1
6238637,107,5
6258146,615,2
6278949,152,1
6297497,111,4
6308924,68,1
6335280,60,2
6352119,264,1
6367948,158,4
6384088,38,1
6395907,218,4
6403395,494,9
6411575,27,1
6438068,840,57
6446388,243,1
6621543,151,1
6625815,414,2
6630929,11,1
6648508,169,1
6668640,490,11
6683646,172,1
6691349,372,2
6707571,544,1
6711560,430,1
6725805,183,5
6734500,379,3
6755961,107,3
6791497,111,1
6794636,324,2
6823785,15,1
6842649,452,22
6846928,178,1
6849244,139,1
6855509,86,3
6873056,413,45
6875665,597,5
6882403,97,3
6896889,191,2
6904414,174,2
5276,325,5
32013,159,5
33166,34,1
45087,149,1
114623,368,8
133508,293,2
141871,84,4
152407,66,1
165832,10,1
183649,126,1
208997,168,2
278513,107,2
285741,94,4
396291,713,2
431100,237,1
457659,202,12
462335,404,8
468576,100,4
500299,244,28
520315,159,16
540324,188,6
568177,2153,2
589714,101,1
597325,148,11
603676,96,4
628093,160,2
656922,352,2
686346,174,2
695679,249,5
724554,63,1
783408,412,6
820079,86,3
833259,70,6
900107,255,2
1044576,22,1
1054694,5,1
1087912,12,1
1095649,753,3
1142245,165,1
1167141,17,1
1181593,109,1
1196341,243,8
1276931,48,1
1330242,532,8
1351116,158,1
1382290,66,2
1389415,485,6
1392976,51,2
1393038,126,20
1422695,386,6
1423660,243,12
1426973,112,5
1438714,405,13
1449773,37,1
1497784,349,8
1545312,314,3
1572520,97,1
1618282,168,1
1623984,199,2
1687837,71,2
1696029,226,36
1700861,131,1
1739491,328,5
1782450,119,2
1797007,246,4
1875288,91,2
1910321,26,1
1921376,319,2
1948909,222,22
1960669,207,13
1967627,280,17
1982789,126,2
1983037,249,5
2010790,262,20
2057623,107,2
2087006,63,4
2093925,367,43
2106289,197,2
2113153,66,1
2123043,128,3
2146633,21,1
2205868,52,3
2214956,74,1
2247458,36,1
2291261,57,3
2292841,31,1
2298482,87,1
2328757,22,1
2329609,96,4
2352558,286,7
2365263,111,4
2382385,58,3
2398220,54,1
2401800,28,3
2413617,70,2
2418576,226,12
2421266,205,7
2422238,95,5
2430647,103,1
2431790,116,6
2467039,383,74
2481269,169,2
2487619,81,1
2524341,166,2
2542911,162,6
2547135,171,5
2563031,991,1
2567031,41,1
2571009,65,3
2588980,343,9
2610178,86,17
2658709,40,2
2676778,74,6
2682615,190,11
2683928,695,2
2685505,373,2
2689585,144,8
2732692,222,2
2762719,22,1
2790709,215,4
2793243,261,1
2795997,49,4
2800013,39,12
2802645,67,6
2823056,78,11
2833017,64,1
2842216,144,1
2842435,62,1
2854851,57,1
2856087,87,2
2857769,327,10
2861519,550,21
2866244,165,1
2920855,74,4
2935039,258,4
2935322,370,5
2945310,301,6
2972210,434,1
2972414,75,3
2978345,23,1
2983522,63,4
2985706,179,8
2991617,39,3
2999143,150,7
3002838,226,2
3004056,825,99
3007000,38,3
3033369,43,1
3050427,61,6
3064716,147,1
3079577,110,3
3094375,161,1
3102519,43,3
3122599,138,24
3164308,114,7
3167731,248,2
3170594,93,5
3172099,105,1
3224399,175,4
3245417,338,30
3249637,569,2
3253434,218,7
3269941,142,1
3270525,20,1
3279945,176,24
3304014,414,7
3309626,135,12
3354737,483,5
3365990,228,25
3374540,22,2
3379111,75,4
3390694,97,1
3422241,178,18
3429788,240,2
3466967,149,1
3467218,35,4
3478404,82,3
3483145,52,3
3485316,107,11
3487805,164,6
3495416,48,1
3501524,54,1
3517511,145,1
3522721,62,2
3523699,84,1
3529059,94,3
3533205,323,12
3534469,35,2
3592385,52,2
3621587,87,2
3623054,24,1
3623992,77,1
3628761,85,2
3638736,488,6
3645061,46,1
3653108,127,2
3653129,221,7
3663290,69,5
3671226,45,1
3673001,29,1
3678049,206,12
3683820,104,3
3687119,134,3
3700346,25,1
3708657,125,5
3726117,81,1
3727092,79,1
3727292,144,1
3736709,70,10
3745984,75,1
3768843,173,2
3771416,57,1
3775275,16,1
3778733,27,8
3784154,157,1
3800879,23,1
3811599,63,5
3812845,354,11
3822930,17,1
3835644,140,7
3837992,126,3
3838677,39,1
3852945,267,1
3857751,71,5
3858876,30,12
3883871,5,1
3884281,28,1
3896055,270,33
3899371,70,3
3902820,281,21
3905583,297,3
3915284,28,2
3922311,60,1
3941377,162,22
3946507,143,1
3947225,38,7
3947420,107,2
3958053,19,1
3958559,155,9
3965142,21,1
3976355,111,5
3984974,115,1
3997103,39,7
4005266,8,1
4033590,172,4
4067465,108,3
4081317,198,1
4081934,269,38
4104454,93,12
4107276,568,3
4114346,47,1
4122063,4,1
4169115,6,2
4179271,41,7
4240209,5,1
4264033,178,17
4319744,32,1
4349436,118,1
4358643,21,1
4382779,16,1
4384589,20,1
4388275,38,1
4393392,46,3
4412565,143,2
4444556,39,4
4446830,45,2
4449699,76,3
4472919,47,1
4473100,23,1
4473738,32,3
4484942,124,3
4485838,2377,51
4487113,184,6
4543935,447,1
4547639,80,4
4560278,20,1
4579009,24,2
4597555,53,1
4598805,33,2
4606922,142,3
4618560,179,21
4620700,50,1
4621754,54,1
4632892,21,3
4647978,30,1
4650175,16,1
4666909,60,1
4697370,58,1
4699215,44,4
4705768,54,5
4738925,13,3
4761300,43,3
4768455,135,6
4804880,10,1
4809559,16,1
4819481,316,1
4843552,669,11
4853695,15,1
4860340,28,3
4864184,144,4
4870353,145,6
4896144,26,2
4898286,60,3
4919049,99,1
4934908,73,1
4951773,14,2
4971387,160,9
5007302,112,7
5076627,189,2
5086840,111,6
5096999,44,1
5147367,21,2
5151367,476,5
5152114,83,4
5152236,56,1
5174345,71,2
5198915,70,8
5205065,26,1
5218348,3,1
5249818,65,3
5252724,42,1
5962380,32,1
5978525,221,5
5979567,412,24
6007762,106,3
6020126,17,2
6064207,35,2
6064869,8,1
6079926,245,1
6099336,50,1
6111788,44,1
6119419,49,2
6147125,79,2
6151097,60,1
6154882,38,4
6161201,608,28
6174058,30,1
6176332,91,5
6178214,74,1
6194040,21,2
6195995,539,4
6217987,4,2
6247273,20,1
6251189,18,1
6270907,2,1
6291559,38,6
6312794,10,1
6332255,59,7
6354029,10,1
6370663,50,2
6380981,30,2
6385926,6,1
6396860,66,4
6415804,8,1
6419350,9,1
6442144,24,2
6448542,46,3
6455874,171,14
6458579,10,6
6459839,72,6
6491596,14,1
6495572,11,3
6498474,31,4
6504185,62,6
6512686,5,1
6518732,18,1
6534004,161,7
6547673,4,1
6561001,15,1
6566109,13,3
6570934,47,2
6573563,73,1
6576734,71,4
6582507,106,9
6599132,162,4
6607522,49,1
6629199,55,1
6634265,3,1
6640946,27,10
6641090,61,3
6644040,14,1
6684555,16,4
6689520,78,13
6726219,41,3
6730835,0,1
6740289,25,2
6740702,119,17
6792565,39,8
6809419,25,1
6885646,2,1
6893175,94,2
4123,8,1
16976,2,1
28611,213,11
36708,30,2
42275,203,3
48213,123,3
62953,35,1
65107,43,2
70223,6,1
80432,28,9
108324,16,2
114413,39,9
131258,14,1
145311,125,3
147607,28,2
150737,69,2
168518,42,1
174778,23,2
184770,53,1
189998,35,1
209475,10,1
210581,15,2
213631,12,1
240319,470,7
272713,215,2
272818,24,1
309527,22,2
332624,199,3
344793,19,2
382771,27,3
406100,27,4
411434,21,2
417689,21,1
449830,23,1
453438,27,1
479624,79,4
484817,51,3
501269,189,4
509249,26,1
511838,44,1
512050,36,2
543389,4,3
569343,2,1
581641,20,1
600930,14,1
607214,2,1
610860,79,41
639130,82,23
642595,58,1
667659,26,1
677623,26,2
690159,54,3
712881,10,1
717245,19,3
726135,14,3
728749,34,3
739707,6,2
752146,2,1
753478,16,2
770862,33,3
781044,29,2
793178,15,2
805802,8,1
812433,26,3
823664,6,2
829160,0,1
833281,40,1
833786,18,1
894724,5,1
897025,85,1
901205,0,1
902490,16,1
902749,99,5
909211,17,3
912128,22,1
928182,14,1
943731,3,1
945046,9,1
964343,74,2
967010,40,11
978890,21,3
982102,9,1
1000785,15,1
1003833,13,1
1014458,98,11
1025936,17,1
1030851,64,2
1036319,17,1
1038203,87,1
1039609,135,2
1048398,34,1
1055371,15,2
1066222,89,3
1096851,20,3
1105436,116,3
1110079,75,3
1112900,9,1
1116892,43,2
1118483,12,1
1129988,21,3
1180313,163,7
1184683,22,1
1191904,21,3
1195710,2,1
1205455,82,1
1209882,7,1
1218450,21,4
1220944,73,4
1224257,31,2
1226979,21,2
1238278,12,1
1249283,27,1
1257147,15,1
1288648,40,1
1312517,21,1
1317070,30,2
1329402,6,1
1339892,6,2
1354603,14,2
1357505,21,1
1377802,42,1
1379752,57,1
1402489,5,2
1427735,10,1
1436668,127,1
1459342,15,5
1462458,24,2
1471291,36,2
1488824,15,1
1501005,0,1
1504247,39,6
1507003,86,7
1507132,8,1
1514552,10,2
1580482,8,1
1583391,13,1
1609787,9,4
1611765,5,1
1625226,15,4
1629207,106,4
1631427,13,2
1636790,112,3
1646699,16,1
1651839,44,1
1656452,9,3
1661362,20,1
1673090,9,2
1701723,16,1
1712996,18,2
1722041,4,1
1724708,19,1
1725821,102,3
1727924,10,3
1731815,10,2
1742688,21,4
1745130,13,3
1761687,42,2
1764782,14,3
1766863,22,5
1787141,2,1
1790435,7,2
1796033,9,1
1810641,27,4
1821482,7,2
1825393,11,1
1828384,21,1
1831109,3,1
1834071,9,2
1843189,5,5
1843504,28,2
1848442,10,1
1864849,0,1
1867316,16,1
1879679,26,2
1897140,8,1
1897162,7,1
1902586,64,3
1910015,8,1
1922918,33,2
1927566,18,1
1931689,17,1
1939242,19,1
1948070,6,3
1950667,5,1
1953872,12,1
1960635,5,1
1972874,11,2
1973640,8,1
1975721,17,2
1980997,3,2
1984688,7,1
1986362,6,1
1990689,8,1
2006154,9,1
2019889,4,1
2037848,6,1
2041846,16,2
2060400,2,1
2077699,11,2
2133018,7,1
2133627,16,1
2137114,13,4
2145147,16,2
2163489,10,1
2171501,2,1
2173648,2,2
2185108,0,1
2186268,2,1
2187258,7,1
2187646,4,1
2196864,5,2
2209431,3,1
2210269,4,1
2215049,5,1
2238581,7,1
2239339,7,1
2240817,5,1
2244723,3,1
2247310,18,1
2267023,0,1
2268831,0,1
2270570,0,1
2272173,32,1
2283150,0,1
2287653,30,2
2289785,5,1
2297873,0,1
2307168,4,1
2309583,40,1
2310109,0,1
2310597,3,1
2313560,2,1
2317017,6,1
2204125,171,1
3093862,162,3
3626084,2585,15
287035,15,1
2901344,420,16
3008801,1469,4
4064925,276,21
4065188,503,13
4305546,1699,7
4463867,2321,5
4646479,170,1
4921505,706,14
5107585,80,2
5398060,428,7
5645450,476,1
5712224,1685,4
5752176,25,4
6146009,543,7
6393181,815,8
6566619,234,1
6705707,267,2
6764528,510,3
6856003,50,1
65084,222,17
166972,324,6
208220,631,3
213835,169,13
217797,1588,30
282636,169,8
356041,459,51
479959,815,5
509613,458,6
694466,381,1
1159909,157,1
1417032,451,1
1462123,125,5
1579514,433,5
1805995,101,1
1899469,190,5
1901290,333,2
2266459,120,2
2334319,556,2
2556838,594,15
